username,followers,created_at,tweet_text
PraveenSingh764,156,2020-03-24 12:50:12,#Hantavirus Coronavirus and #Hantavirus on their way to end humanity  #COVIDー19 #COVID2019  #Coronavirus… https://t.co/wZ98iB20bM
LOVEBRATSAXENA,46,2020-03-24 12:50:10,"*****COVID19 UPDATE*****
ITALY mortality rate due to corona virus reaches to 10%.
#CoronavirusLockdown
#Covid19India #COVID2019"
bhavishh,70,2020-03-24 12:50:08,Stay home stay safe.. save the world #StayAtHome #DontBeASpreader #CoronavirusLockdown #Covid19India #CurfewInIndia… https://t.co/sD9csSXa37
SauravBhowmik3,45,2020-03-24 12:50:06,"Einstein was right..
“Two things are infinite. Universe and Man's stupidity. I'm not sure about the former.”… https://t.co/knQBkhi4Pd"
KautilyaKalyan,35,2020-03-24 12:50:05,@DelhiPolice @HMOIndia @LtGovDelhi @CPDelhi @DelhiPolice @LtGovDelhi @CPDelhi #LockdownQuery #StayAtHomeSaveLives… https://t.co/2DKxOiVzFI
abuyusuf201,320,2020-03-24 12:50:04,"@mhmhisham May Allah give you, your friends and in all  quarantine camps  in SL &amp; around the world, a safe recovery… https://t.co/F1nes0deiM"
ZeinaMansour1,5396,2020-03-24 12:50:02,"Beat #Corona Virus. Stay Safe.
#StayHome #coronavirusupdates 
#COVID2019 #COVIDー19 #stayhomechallenge #Lebanon https://t.co/RugISNKRSD"
FatiMaButt_4,7607,2020-03-24 12:50:01,"Italy has crossed highest number of #CoronaVirus deaths... 😢
#prayforitaly #COVID2019 https://t.co/QQS7iphBVC"
TPE_connect,736,2020-03-24 12:50:00,Arizona man dies after self-medicating for coronavirus with malaria drug. #Arizona #UnitedStates #Coronavirus… https://t.co/5S4dpEmhhb
moneycontrolcom,763746,2020-03-24 12:50:00,#COVID2019 | We spoke to analysts to find out what sectors or stocks could benefit from falling #oil price… https://t.co/JMu7eulU4J
nuferdous,14,2020-03-24 12:50:00,"Please self quarantine yourself I you have traveled, for the sake of your family and ones. 
 Wash yourself thorough… https://t.co/BqZYWmvGJp"
Selnadeem,7967,2020-03-24 12:49:53,#Sweden has just announced new restrictions on restaurants &amp; bars. Customers will now only be served if they have s… https://t.co/4vcwRAIXPI
queerpirate,176,2020-03-24 12:49:50,"I wonder if, because of lockdowns, more jobs will be created for delivering. The #post is very slow now in France.… https://t.co/v9SJIF8kAm"
ksouvik,429,2020-03-24 12:49:48,Still we are unable to control this little monster. Almost entire human civilization is rattled. What has gone wron… https://t.co/0gdG7WZFfH
ParkerQ404J,130,2020-03-24 12:49:47,Remember democrats impeached President Trump for allegedly withholding aid to Ukraine. But it’s ok for them to with… https://t.co/TAnxxo4ipW
ryanmish,956,2020-03-24 12:49:40,"Kairus out Muslera in. 💜

#COVID2019 https://t.co/dUnVQqS5jB"
Sachinu26,62,2020-03-24 12:49:36,"#COVID2019 is anothr way of war in response 2 trade war w/out any liability(on the othr side, taking advantage by p… https://t.co/a9JbRECyJO"
ComiRaffacomi,5,2020-03-24 12:49:30,"This is such a great news!
#scuba #coronavirus #italy #decathlon #FabLab #COVID #COVID2019 https://t.co/GPmLA8a4rG"
ForABetterVizag,516,2020-03-24 12:49:25,Stay Safe from #COVID2019 https://t.co/HLwFAfqDOW
QuantitativeHe2,15,2020-03-24 12:49:22,"#COVID2019 #COVID-19 #IamVaccine   By maintaining social distancing recommended, you provide protection against COV… https://t.co/QExrYzA80o"
chavan_trunal,25,2020-03-24 12:49:20,This is not the time to panic or give false information to cause fear. All we need to do is to follow the strict me… https://t.co/KSPv0pJP0W
rahul7464,62,2020-03-24 12:49:19,"@akshaykumar @mybmc My niece requesting all to stay indoors.
For our kids and elders, lets #StayHome… https://t.co/OcJUpqmr9Q"
rajanmh,5,2020-03-24 12:49:15,"#Covid19India #COVIDIOTS #COVID2019 #Covid_19india #StayAtHome #StayHomeIndia 

Right or wrong? No politically corr… https://t.co/NsdvUUzsNp"
zaheer516,447,2020-03-24 12:49:14,"If this is attitude of our police, #COVID2019 does not need to kill us: it is our police that is sufficient for the… https://t.co/KZNj236gU7"
Rosalia_Gul,961,2020-03-24 12:49:12,Why should we stay home #COVID2019 https://t.co/syo3vRkPB2
maryszia,130,2020-03-24 12:49:10,"https://t.co/2ML7tkPpXR
Damn! Why i remembered this 🤦
#KoronawirusWPolsce 
#COVID2019"
AnanyaSinghAnn1,656,2020-03-24 12:49:10,"Precaution is better than cure !
#coronavirusindia #COVID2019 
#Covid19India #StayAtHomeSaveLives #StayHomeIndia… https://t.co/qGd1MQZYCx"
Ayushma30137296,6,2020-03-24 12:49:07,"@narendramodi I am very greatful to my govt.,democracy, Constitution that work so hard against #COVID2019 along wit… https://t.co/AP4uPtLyQ2"
AyraAwans,205,2020-03-24 12:49:03,"First #COVID2019  then      #Hantavirus
Me: Mars I'm coming"
RajeevS97307594,194,2020-03-24 12:49:02,"Congress Leader @LambaAlka 

Modi Sarkar Failed To Counter #COVID2019 

#COVID #COVIDIDIOTS #Corona… https://t.co/JeXXA6I3m7"
taslimdt,74,2020-03-24 12:49:02,"Please practice social distancing.
Let's stand apart today so that we can -safely- stand together tomorrow.
#CoronavirusLockdown #COVID2019"
razaahere,41,2020-03-24 12:48:58,"@ImranKhanPTI in a complete state of confusion with no proper plan
#PakistanZindabad🇵🇰 #CoronavirusLockdown #COVID19Pakistan #COVID2019"
heyitsajobthing,11,2020-03-24 12:48:57,Kitties wanna say something about self isolation 😹 #isolation #COVID2019 https://t.co/bKo950HCnb
MohamadMajid14,276,2020-03-24 12:48:55,"The reality now.🤪🤗

#COVID2019 https://t.co/XbRwMplKVg"
sudeeepgautam,11,2020-03-24 12:48:51,"be Daenerys Targaryen and break the chain people 
#BreakTheChain #QuarantineActivities #COVID2019 #COVID https://t.co/u8eJawAUQU"
